Skewness,Variance,Curtosis,Entropy,Class
6.9176,2.8561,-0.79372,0.48403,0
9.5663,-0.7869,-3.7867,-7.5034,0
6.6258,2.0843,0.48382,-2.2134,0
9.5663,-0.7869,-3.7867,-7.5034,0
6.065,3.9102,-2.4534,-0.68234,0
3.286,1.6349,2.8753,0.087054,0
-4.8835,4.3239,3.4356,-0.5776,0
3.9834,5.262,-1.5572,1.0103,0
5.825,3.1452,-0.51439,-1.4944,0
6.1499,2.549,-1.1605,-1.2371,0
5.496,4.9264,-2.4774,-0.50648,0
0.80287,4.8265,1.6371,1.1875,0
6.7769,2.5635,-0.61979,0.38576,0
5.0097,5.807,-2.2384,0.43878,0
-4.1096,3.1377,4.5701,0.98963,0
11.3603,-0.78289,-0.37644,-7.0495,0
0.44696,2.888,4.5907,-0.24398,0
5.527,0.49665,1.7785,-0.47156,0
11.2962,4.2586,-4.0943,-4.3457,0
-1.1174,1.7939,1.5454,-0.26079,0
3.1039,5.4021,-1.1536,1.5651,0
2.599,2.5367,2.0938,0.20085,0
-4.0765,4.6054,2.7587,0.31981,0
9.5332,2.4235,-3.0789,-2.7746,0
7.7846,1.0009,-0.28219,-2.6608,0
8.9848,0.12326,-0.9351,-2.4332,0
-2.3548,3.9529,2.3792,0.48274,0
0.49248,4.1373,1.093,1.8276,0
10.0153,4.7181,-3.9486,-3.8582,0
-3.4495,4.1654,3.643,1.0879,0
10.9072,4.4069,-4.5775,-4.4271,0
3.5364,2.3066,0.57551,0.41938,0
7.9853,3.7935,-2.5477,-1.872,0
6.1437,0.049175,1.7828,-0.72113,0
7.6439,0.24835,0.9885,-0.87371,0
3.9647,1.1317,3.3979,0.84351,0
9.0862,2.8033,-3.3668,-1.0224,0
2.2907,4.4682,0.95766,0.83058,0
8.5978,5.0185,-2.9375,-1.281,0
7.7763,1.8664,-0.23849,-2.9634,0
6.63,3.245,-0.63435,0.86937,0
2.6756,4.0296,0.80685,0.71679,0
1.9037,-1.1313,7.5339,1.022,0
6.8141,0.87603,0.84198,-0.17156,0
-2.7956,4.1197,2.0707,0.67412,0
0.81529,3.8027,2.1041,1.0245,0
7.6377,1.4806,-2.7876,-1.0341,0
3.584,4.0632,0.72545,0.39481,0
8.2068,4.3064,-2.7824,-1.4336,0
-6.3175,2.4486,7.9632,0.20602,0
1.7837,3.2718,2.1161,0.61334,0
-4.6062,-0.64472,8.347,-2.7099,0
1.076,2.9543,0.64577,0.89394,0
-6.8804,2.1616,8.1517,-0.081048,0
10.9279,3.82,-4.0112,-5.0284,0
11.4038,-2.7419,2.5394,-5.5793,0
-5.1856,3.3669,3.6935,-1.1427,0
-2.4211,4.5597,2.6413,1.6168,0
-0.49871,5.1129,0.62863,1.1189,0
-4.6145,3.3397,3.9823,-0.23751,0
0.22761,4.2027,0.96108,0.97282,0
1.2395,3.5438,1.997,2.1547,0
10.6651,2.3136,-3.5288,-4.7672,0
7.886,-1.8584,-1.6643,-1.8384,0
9.5414,3.106,-4.2536,-4.003,0
10.8306,2.9163,-3.3437,-4.122,0
-4.4676,3.9922,3.7304,-0.1095,0
5.6946,1.518,0.094818,-0.026738,0
9.647,3.2351,-3.2074,-2.5948,0
6.8162,4.2188,-1.2804,0.76076,0
6.9176,1.7819,-1.2744,-1.5759,0
2.9135,2.5331,-0.822,-0.12243,0
7.4163,3.8969,-1.8245,0.14007,0
6.7955,2.108,-0.1708,0.4905,0
0.70768,2.8969,2.29,1.8663,0
-3.7971,0.9297,4.6429,-0.2957,0
10.6878,3.4642,-3.4071,-4.109,0
10.4023,4.0713,-4.1722,-4.7582,0
9.1214,-1.4572,1.7425,-5.1241,0
1.9224,-1.5075,7.1466,0.89136,0
9.9884,-0.91718,1.1804,-5.2263,0
7.2011,2.994,-1.2153,0.3211,0
12.9516,-2.343,3.3285,-5.9426,0
-2.8846,3.7818,2.2558,-0.15734,0
1.3098,4.6689,0.055404,1.909,0
1.1112,3.4663,1.7425,1.3388,0
-4.3414,3.2697,3.6884,-0.29829,0
8.6703,5.1302,-2.8913,-1.5086,0
6.1416,2.0139,0.37929,0.56938,0
5.5395,0.4339,2.033,-0.40432,0
9.3987,-1.0401,0.85998,-5.3336,0
11.2196,4.1605,-3.6136,-4.0819,0
9.4669,5.438,-4.9417,-3.9202,0
8.2026,5.032,-2.6256,-1.0341,0
10.5388,5.2418,-4.1174,-4.2797,0
9.2207,-0.2062,-3.7044,-6.8103,0
0.94358,2.0911,4.5512,1.234,0
-0.34765,1.7317,4.1905,-0.99138,0
3.3336,4.1736,-1.4244,0.60429,0
-3.2467,3.9232,3.4579,0.83705,0
10.1539,3.8481,-3.8561,-4.2228,0
-3.2633,0.5195,3.0895,-0.9849,0
0.78425,3.8584,1.1033,1.7008,0
-0.1759,1.7496,5.1827,1.2922,0
0.9829,3.6277,0.68861,0.63403,0
7.4018,2.7391,0.071684,-2.5302,0
8.2274,4.5447,-2.4166,-1.5875,0
11.9211,-1.7599,2.6756,-3.3241,0
0.21313,5.0691,0.20278,1.2095,0
11.112,3.4591,-4.2039,-5.0931,0
8.1654,1.9358,-0.023425,-2.2586,0
-0.99533,2.486,5.3404,-0.15475,0
-4.5752,2.4226,5.947,0.21507,0
-3.7723,3.9479,2.883,0.019813,0
-4.4862,2.2634,3.6558,-0.61251,0
4.2358,1.3566,2.1341,0.3211,0
3.8964,5.0452,-1.4304,0.86291,0
8.6165,3.5499,-3.2794,-1.2009,0
7.8695,0.17346,0.26876,-3.7883,0
9.3593,2.4008,-3.3565,-3.3526,0
1.5995,4.8851,-0.00029081,1.6401,0
-3.2674,4.1927,2.5839,0.21766,0
8.6496,1.1166,-0.96252,-1.8112,0
6.901,1.0235,-2.0062,-2.7125,0
11.8818,-1.803,2.0458,-5.2728,0
6.2761,0.11739,-1.5495,-2.4746,0
-0.0248,0.5706,1.2421,-0.5621,0
-2.4583,4.0552,2.2806,1.0323,0
1.0657,-1.6952,8.8294,0.94955,0
10.7271,-1.1193,2.0938,-5.6504,0
2.4707,1.8799,2.4931,0.37671,0
-3.7971,3.583,3.4391,-0.12501,0
9.1297,0.19081,-3.725,-5.8224,0
5.6864,3.6582,-1.7157,-0.23751,0
-1.7775,-0.13144,8.3316,0.35214,0
9.798,2.3925,-3.0361,-2.8224,0
3.0149,1.6426,0.22849,-0.147,0
-1.5789,-0.11783,8.03,-0.028031,0
8.6165,-0.69572,1.8419,-4.3289,0
7.4101,2.9421,-0.97709,-0.88406,0
11.9459,-1.7559,3.0946,-4.8978,0
10.8803,-1.2537,1.931,-4.3237,0
-4.4614,3.2585,3.8024,-0.15087,0
6.3672,1.8314,-0.036278,0.049554,0
-3.6275,4.5645,2.8684,0.27714,0
-5.0325,2.7365,6.6608,-0.57889,0
-3.7971,0.9297,4.6429,-0.2957,0
10.1684,3.9663,-4.1131,-4.6056,0
-0.08485,1.4578,4.1785,0.59136,0
3.0687,4.8272,0.68604,0.80731,0
12.3784,-2.341,0.70403,-7.5836,0
7.886,-1.8584,-1.6643,-1.8384,0
7.257,4.1454,-1.9153,-0.86078,0
6.0816,1.9157,0.23705,-2.0116,0
-2.1914,4.0215,2.4648,1.1409,0
5.8747,5.8862,-2.8167,-0.30087,0
10.8265,-2.0897,2.3603,-3.4198,0
-3.5943,4.0026,3.5573,0.26809,0
9.5663,-0.78689,-3.7867,-7.5034,0
10.2615,4.1757,-3.8552,-4.3056,0
7.5404,0.83292,0.65005,-0.92544,0
2.2327,4.8077,-0.26334,1.5534,0
5.2684,5.3063,-2.8904,-0.52716,0
9.2683,2.5605,-3.5913,-1.356,0
7.6046,2.1059,-0.47755,-1.8461,0
-0.73874,2.1721,5.4672,-0.72371,0
9.1814,4.2899,-4.6067,-4.3263,0
10.1891,3.5156,-4.2759,-4.978,0
8.0081,2.614,-3.7258,-1.3069,0
2.3259,0.68087,4.9085,0.54998,0
0.74493,4.1962,0.83256,0.753,0
2.9673,6.0919,-1.3267,1.4551,0
3.2964,1.3234,0.2362,-0.11984,0
1.0326,1.3264,5.6566,-0.41337,0
7.6274,-0.16735,1.2061,-3.6241,0
10.2678,-1.3,-2.953,-5.8638,0
12.5398,-2.2261,2.9438,-3.5258,0
6.4665,2.4196,-0.75688,0.228,0
0.6394,1.0987,5.989,-0.58277,0
10.5326,4.6464,-4.5852,-4.206,0
4.1158,-0.36038,3.1143,-0.37199,0
3.2136,1.3562,4.3465,0.78662,0
-0.0248,0.5706,1.2421,-0.5621,0
10.1374,-2.6479,-1.331,-5.4707,0
-3.137,3.1219,1.9259,-0.37458,0
1.5478,5.4944,0.041694,1.9284,0
1.552,-1.3389,7.0806,1.031,0
11.9604,-2.3361,3.0835,-5.4435,0
-0.033118,2.2596,4.7355,-0.2776,0
-0.63321,0.46901,7.3848,0.36507,0
2.8701,2.7296,0.51124,0.5099,0
2.03,2.0466,2.1761,-0.083634,0
9.498,-1.3274,2.4408,-5.2689,0
-2.1521,3.8905,2.6302,1.1047,0
0.90427,3.9994,1.1693,1.6892,0
9.5083,2.3952,-3.1783,-3.0086,0
6.9321,3.2704,-1.0456,0.23447,0
1.5664,-1.3931,7.5382,0.78403,0
3.5488,1.6406,1.3964,-0.36424,0
6.8576,2.7744,-1.0671,0.075416,0
9.3821,2.4287,-3.2477,-1.4543,0
-2.806,4.2134,2.0116,0.67412,0
0.48213,1.6472,4.7449,1.225,0
-0.99326,2.0597,5.2119,-0.29312,0
0.7098,0.3798,0.7572,-0.4444,0
8.4551,1.0135,-1.672,-2.0815,0
-4.4552,4.5691,3.1769,0.0042961,0
10.1105,0.57461,-1.6917,-4.3922,0
9.1938,0.5734,-0.9094,-1.872,0
3.257,5.2868,-1.3721,1.1668,0
10.6568,4.0102,-4.1388,-5.0646,0
-3.6792,4.1425,3.8281,1.6297,0
-2.9177,3.0934,2.2232,0.22283,0
5.9947,2.2034,0.53009,0.84998,0
0.79459,3.744,0.95851,1.0077,0
2.2948,3.0329,2.1135,0.35084,0
7.2073,3.7731,-1.6814,-0.94742,0
2.8908,3.1557,0.59693,0.79825,0
7.6067,1.8114,-0.9788,-2.4668,0
7.2052,4.988,-3.2846,-1.1608,0
6.6155,2.483,-0.79287,-0.90863,0
4.7055,1.594,1.3758,0.081882,0
9.7484,-0.016103,0.15394,-1.6134,0
9.7939,3.8496,-4.1508,-4.4582,0
-3.7971,0.9297,4.6429,-0.2957,0
2.4107,4.9342,-0.17594,1.6245,0
10.0215,3.8417,-4.2699,-4.9159,0
9.9946,5.3915,-3.8081,-3.3642,0
-0.070365,4.4072,2.0416,1.1319,0
6.7976,2.6946,-0.40301,0.44912,0
0.13863,5.2756,0.12138,1.1435,0
6.2637,3.4312,-1.9513,-0.36165,0
-0.16555,4.052,0.45383,0.51248,0
-4.7759,1.3638,8.4182,-1.8836,0
7.7763,0.89566,-2.7473,-1.9353,0
7.7557,1.9265,-0.16823,-3.0771,0
-0.46146,0.20977,7.7267,0.90946,0
-2.9363,4.068,2.1992,0.50084,0
-4.0599,2.877,3.6259,-0.32544,0
-0.89808,0.3223,8.0883,0.69222,0
10.2678,-1.3,-2.953,-5.8638,0
-6.4334,1.7747,8.15,-0.89828,0
-4.4221,1.3419,8.09,-1.7349,0
10.5471,0.89606,-1.4175,-4.0327,0
2.9487,0.44125,4.3225,0.7155,0
6.2265,3.2422,0.12224,-1.4466,0
3.5136,2.5678,0.61406,-0.40691,0
11.9625,-2.2153,0.078538,-7.7853,0
6.1189,4.1349,-2.4294,-0.19613,0
-9.28E-06,1.934,4.816,-0.33967,0
1.1588,2.5068,3.9249,0.12585,0
6.0795,2.1464,-0.5778,-2.2302,0
7.0521,0.051979,-2.0541,-3.1508,0
8.035,1.2706,-0.19651,-2.1888,0
0.83391,1.143,5.4552,-0.56984,0
9.0386,2.2928,-3.2417,-1.2991,0
-4.4552,0.3292,4.5718,-0.9888,0
6.8369,2.9719,-0.2702,0.71291,0
8.7489,1.6849,-1.2641,-1.3858,0
11.6894,-1.9177,2.5454,-3.2763,0
10.4726,2.3729,-3.0087,-3.2013,0
9.767,1.0284,-1.3687,-1.7853,0
9.2186,0.27451,-3.2863,-4.8448,0
-4.7863,1.6032,8.5193,-2.1203,0
10.1788,4.616,-4.2185,-4.4245,0
7.6956,4.2478,-2.7696,-1.0767,0
-2.7004,4.0215,2.4957,0.36636,0
-4.9704,5.0297,3.5025,-0.23751,0
2.2948,1.5902,3.2403,0.18404,0
5.1939,2.1274,-1.7971,-1.1763,0
8.3847,1.1811,-2.0567,-0.90345,0
-4.4552,0.3292,4.5718,-0.9888,0
5.2808,5.7353,-2.2598,0.075416,0
5.6574,2.6718,0.72974,-1.4892,0
-4.7076,1.5799,7.9186,-1.5487,0
2.2493,2.9499,1.3458,-0.037083,0
-3.2633,0.5195,3.0895,-0.9849,0
9.5911,3.7352,-3.9032,-3.3487,0
2.0175,-1.7344,7.7618,0.93532,0
10.0277,3.884,-3.9298,-4.0819,0
1.2829,3.5257,1.9276,1.7991,0
2.4976,4.4549,1.0313,0.96894,0
-6.4624,-0.16108,8.3573,-1.5216,0
9.4607,4.2164,-4.9288,-5.2366,0
6.8224,3.5152,-0.67377,-0.46898,0
2.9094,1.6988,2.9044,0.11033,0
2.4542,1.0607,2.5188,-0.17027,0
1.2436,2.0421,4.2171,0.90429,0
1.3078,3.5594,1.291,1.6556,0
5.8126,3.0009,-2.2306,-0.66553,0
1.4112,3.9294,1.8076,0.89782,0
-4.0724,3.4667,4.2882,1.5418,0
3.9213,3.966,0.70574,0.33662,0
2.33,1.0191,4.9334,0.82929,0
5.616,0.96414,2.2138,-0.12501,0
6.7562,1.8205,0.0099913,0.39481,0
7.8653,4.9923,-2.3515,-0.71984,0
11.5093,-1.1804,0.15565,-6.8194,0
0.23175,4.0329,0.89082,1.1823,0
10.3878,0.66018,-1.4029,-3.9151,0
7.1307,3.5982,-1.3035,0.21248,0
7.886,-1.8584,-1.6643,-1.8384,0
0.46972,4.0972,1.6671,0.91593,0
0.91254,3.3299,1.5806,0.39352,0
3.1122,3.1088,0.80857,0.4336,0
8.5234,-4.2859,3.1392,-0.91639,0
10.2036,-1.2528,2.1787,-5.6038,0
-3.2633,0.5195,3.0895,-0.9849,0
-4.4552,0.3292,4.5718,-0.9888,0
5.3449,0.88872,2.045,-0.19355,0
9.3718,3.5458,-4.0351,-3.9564,0
8.0329,-0.21661,1.8848,-3.8853,0
9.0821,2.7206,-3.3111,-0.96811,0
8.6889,3.2051,-2.9033,-0.7819,0
10.8161,2.6917,-3.3,-4.2888,0
11.5176,-2.3242,1.8231,-5.375,0
-4.2006,2.7161,4.1914,0.16981,0
3.2674,3.3848,0.90967,0.25128,0
4.8028,1.7452,2.0878,0.62627,0
0.57732,2.805,1.3424,1.2133,0
5.5788,5.7823,-2.4089,-0.056479,0
1.734,3.8999,1.6011,0.96765,0
6.332,3.5189,-1.7791,-0.020273,0
7.7391,3.2294,-0.37816,-2.5405,0
3.1639,3.4985,0.22677,-0.1651,0
1.3781,2.1948,1.1582,0.85774,0
9.9636,2.2526,-3.1749,-2.9944,0
-3.9358,4.1529,2.8633,-0.017686,0
11.17,0.74307,-1.3824,-4.0728,0
8.871,1.9105,-2.3386,-0.75604,0
0.070346,-1.5055,6.8681,-0.50648,0
10.7727,0.58836,-1.3884,-4.3276,0
7.8384,3.2303,-3.5348,-1.2151,0
11.6542,-1.9922,2.6542,-5.2107,0
9.0096,2.8523,-3.761,-3.3371,0
2.4955,4.2772,0.48554,0.36119,0
0.039307,1.5099,6.2332,-0.30346,0
10.1457,5.4188,-4.084,-3.6991,0
2.6963,0.86202,4.2908,0.54739,0
10.1457,3.8117,-4.0463,-4.5629,0
10.3754,0.54777,-1.5435,-4.1633,0
7.4908,2.3718,0.015989,-1.7414,0
11.1472,-2.4953,1.9353,-3.4638,0
-2.6611,4.6361,2.8358,1.1991,0
11.5321,-2.2527,2.5899,-3.2737,0
10.423,3.7982,-4.1602,-4.9728,0
8.2895,-0.36279,-1.9213,-3.3332,0
6.8783,2.1265,0.44784,-2.2224,0
5.5643,0.86736,1.6765,-0.16769,0
10.0526,3.7831,-3.8869,-3.7366,0
12.1177,-2.2623,0.28846,-7.7581,0
4.4303,1.2616,-1.3335,-1.7517,0
3.1349,2.6799,0.34073,0.58489,0
5.9781,-0.39816,1.3912,-1.1621,0
0.35798,4.3937,2.0416,1.2004,0
5.6222,2.9695,0.27561,-1.1556,0
-0.15521,1.3049,6.4911,-0.75346,0
-5.8395,2.2123,7.7687,-0.85302,0
6.9383,1.9647,0.57722,0.66377,0
-2.5845,3.0864,2.2309,0.30947,0
0.7098,0.3798,0.7572,-0.4444,0
7.4266,0.58982,1.2353,-2.9595,0
7.946,0.14783,1.0742,-3.3409,0
6.1975,-0.062025,1.099,-1.131,0
1.1319,4.223,0.72202,0.96118,0
7.1018,0.64295,0.3493,-0.41337,0
0.46351,1.941,4.6472,1.0879,0
0.45937,4.0047,1.3621,1.6181,0
9.7794,3.7767,-3.9075,-3.5323,0
-0.15314,3.4769,2.53,2.4495,0
9.2621,1.9818,-3.521,-1.872,0
-3.8696,3.8023,4.044,0.95343,0
11.1079,4.3483,-4.0857,-4.2539,0
1.3864,1.1518,5.2727,-0.43536,0
1.5892,-1.2576,7.0078,0.42455,0
-5.1153,1.9572,8.6127,-1.4297,0
12.1611,-2.484,2.8204,-3.7418,0
1.2954,-1.1497,7.701,0.62627,0
10.0132,4.8368,-4.3239,-4.3276,0
8.8068,-0.12196,0.94566,-4.2267,0
6.3961,1.9429,0.092248,0.58102,0
-4.809,1.742,8.2142,-2.0659,0
10.8409,-1.5222,2.7827,-4.0974,0
10.2678,-1.3,-2.953,-5.8638,0
-0.14693,3.4246,0.80342,0.29136,0
-4.9518,2.5503,6.3729,-0.41596,0
6.3465,1.5691,-0.1828,-2.4099,0
4.9228,1.3087,2.0013,0.22024,0
8.2316,5.1776,-3.2511,-1.5694,0
9.6325,2.229,-3.1123,-2.7164,0
10.0857,5.6272,-4.2931,-3.8142,0
8.7986,1.2138,-2.1672,-0.74182,0
0.7098,0.3798,0.7572,-0.4444,0
6.0319,0.5415,1.6825,-0.46122,0
5.6802,4.0524,-1.9693,0.026279,0
2.1065,4.7285,-0.28305,1.5625,0
0.66216,3.4359,2.1041,1.8922,0
10.2429,0.86816,-1.4912,-4.0082,0
9.8022,3.359,-3.8209,-3.7133,0
2.9942,3.6702,0.85141,0.30688,0
6.1189,1.3349,0.46497,0.49826,0
-3.4143,3.1887,2.7742,-0.2026,0
2.9653,2.4527,0.20021,-0.056479,0
2.9735,3.9121,0.92852,0.60558,0
10.5885,3.9364,-3.725,-4.3133,0
-3.2902,3.9414,3.1674,1.0866,0
-3.9585,3.6922,4.3439,1.3517,0
7.795,5.681,-2.6848,-0.92544,0
9.0862,0.77124,-1.2281,-1.4996,0
9.7753,3.5761,-3.9795,-3.4638,0
6.1251,1.602,0.52924,0.47886,0
10.216,2.6682,-3.4414,-4.0069,0
1.8644,2.0007,2.6491,0.47369,0
3.1287,0.64215,4.2933,0.64696,0
-3.0729,4.3848,3.0423,1.2741,0
9.0552,0.77445,-2.4089,-1.3884,0
8.393,0.96574,-1.361,-1.4659,0
8.7324,3.0948,-2.9007,-0.96682,0
7.6046,4.9362,-2.3429,-0.85302,0
11.2217,-1.9458,1.9079,-3.4405,0
-0.44284,5.7403,0.38015,1.3763,0
12.1984,-2.6989,0.67661,-8.5482,0
3.5985,1.1472,1.9387,-0.43406,0
8.96,2.9742,-2.9024,-1.0379,0
7.2094,4.5707,-3.2794,-1.4944,0
6.5079,0.1848,2.0133,-0.87242,0
9.2931,0.87256,-0.7843,-2.1978,0
6.8866,0.39559,1.0588,-0.67587,0
6.1851,3.8384,-2.0439,-0.033204,0
7.3108,2.8209,-0.81857,-1.8784,0
9.7546,2.5817,-3.1749,-2.9957,0
0.23175,3.8213,2.0133,2.0564,0
0.7098,0.3798,0.7572,-0.4444,0
6.69,3.4893,-1.2042,-0.38751,0
0.8546,-1.7781,7.1303,0.027572,0
2.4769,2.0962,1.9379,-0.040962,0
-0.57113,0.94732,7.1903,-0.67587,0
9.4007,2.8261,-3.3034,-1.0509,0
8.3661,0.0071249,0.50781,-3.8155,0
7.1907,0.96788,1.2798,-2.4565,0
2.1086,4.7432,0.1368,1.6543,0
7.2797,3.6575,-2.2692,-1.144,0
6.4023,3.8832,-2.432,-0.98363,0
8.811,3.4776,-3.1886,-0.92285,0
7.9212,1.1315,1.093,-2.8444,0
2.8597,2.8237,0.19678,0.57196,0
6.0423,1.9321,0.26019,-2.053,0
-3.3315,3.0632,5.1305,0.8267,0
10.8306,-1.8411,2.769,-3.0901,0
11.3045,2.8084,-3.3394,-4.4194,0
-4.4076,2.5698,5.9856,0.078002,0
10.3216,-0.12624,-3.7121,-6.1185,0
-4.0951,3.3756,4.367,1.0698,0
-1.6037,-0.048008,8.4756,0.75558,0
-0.0248,0.5706,1.2421,-0.5621,0
6.5906,0.88444,0.55837,-0.44182,0
3.7061,3.8644,0.70403,0.35214,0
2.5762,1.2999,2.0107,-0.18967,0
-6.8638,2.0051,8.132,-0.2401,0
0.27727,4.9294,0.20792,0.33662,0
6.3485,2.8297,-0.73546,-0.58665,0
8.633,2.565,-2.9941,-1.3082,0
8.3061,2.093,0.022844,-3.2724,0
5.6264,4.6014,-2.1235,0.19309,0
-0.35799,5.0617,0.44698,0.99868,0
9.0489,-0.2951,-0.52725,-2.0789,0
2.4004,3.577,1.8908,0.73231,0
2.5017,3.9433,1.5215,0.903,0
10.754,2.6648,-3.3994,-4.1685,0
6.1664,5.9374,-2.5905,-0.36553,0
1.8479,2.0153,3.1375,0.42843,0
5.9409,5.8782,-2.8544,-0.60863,0
12.606,-2.3983,2.9464,-5.7888,0
4.3682,1.762,2.1384,0.75429,0
-2.4852,4.2406,1.608,0.7155,0
6.87,3.4669,-1.0568,-0.73147,0
5.7526,3.1896,-0.18537,-0.30087,0
9.1566,0.81356,-2.1492,-4.1814,0
0.96427,0.52855,4.0243,-1.0483,0
-2.0403,2.1319,2.5574,-0.061652,0
4.5731,0.33111,2.057,-0.18967,0
8.8172,1.2746,-1.5323,-1.7957,0
7.4556,2.2091,-1.3284,-3.3021,0
7.528,2.5328,-0.41929,-2.6478,0
1.4609,3.6244,1.3501,1.9284,0
12.5026,-1.3885,0.69118,-7.5487,0
5.8312,5.7227,-2.4097,-0.24527,0
10.3567,3.3583,-3.7301,-3.6991,0
2.2369,2.5227,2.7236,0.79438,0
6.7334,0.045304,1.0708,-0.9332,0
7.7598,4.8278,-2.4491,-1.2216,0
-4.7738,1.9476,8.527,-1.8668,0
0.66216,2.7659,4.1494,-0.28406,0
-0.76771,-0.10648,7.7575,0.64179,0
-0.053811,0.72252,5.6703,-1.3509,0
1.4816,4.2475,-0.48355,0.95343,0
0.33521,3.9772,2.2566,2.1625,0
4.302,3.6667,0.55923,0.33791,0
10.8513,2.8232,-3.1466,-3.9784,0
11.6542,-1.4217,-0.057699,-7.1025,0
1.1981,4.2458,0.66633,0.94696,0
-4.8069,4.1038,3.3491,-0.49225,0
8.7903,1.4507,-2.2324,-0.65259,0
-3.9172,3.4647,3.9746,0.36119,0
6.1458,1.8533,1.0176,-2.0401,0
0.71596,3.5288,1.9507,1.9375,0
1.0367,3.9719,0.75973,1.0013,0
9.3614,3.534,-3.6316,-1.2461,0
9.887,3.6894,-4.0788,-4.3664,0
-4.4117,3.0672,3.8238,-0.81682,0
-4.8152,2.6463,6.3549,0.003003,0
3.733,2.2893,0.6312,-0.39786,0
7.9274,1.5673,-0.056842,-2.1694,0
0.51524,4.0405,1.0279,1.106,0
-4.8794,4.3846,3.3662,-0.029324,0
-0.25246,2.0165,5.1707,1.0763,0
11.1741,4.0446,-4.3582,-4.7401,0
-0.64976,-0.33729,7.6659,0.72326,0
12.7302,-2.4604,0.91738,-7.6418,0
10.9258,4.1195,-3.8929,-4.1802,0
0.82356,2.0193,4.6369,1.4202,0
7.9129,1.5701,0.29018,-2.1953,0
7.586,2.6415,-0.28562,-1.6677,0
8.0764,5.0214,-3.0515,-1.7155,0
3.3295,4.3435,0.83598,0.64955,0
-6.7748,1.8238,8.3873,-0.54139,0
0.9291,3.9382,0.78543,0.6767,0
-5.1422,2.2517,4.2916,-1.2487,0
10.3671,5.504,-4.413,-4.0211,0
9.171,2.8521,-3.6461,-1.2047,0
9.1566,1.1676,-2.0867,-0.80647,0
8.0081,2.6104,-0.23592,-1.7608,0
10.067,0.32444,-1.1982,-4.1284,0
-4.7904,3.8962,3.3954,-0.53751,0
-0.8091,2.1752,5.1022,-0.67975,0
8.9331,1.1588,-2.0807,-1.1272,0
8.2957,4.7072,-2.5605,-1.4905,0
11.8052,-1.9667,-0.40472,-7.8719,0
0.40143,4.0552,1.4563,0.65343,0
-6.839,2.3678,8.4207,-0.44829,0
6.8369,0.33565,0.69718,-0.55691,0
-5.3036,4.3398,3.8803,-0.70432,0
8.5482,1.5456,0.4187,-2.1784,0
8.3847,1.4276,-2.0995,-1.9677,0
8.1881,-0.27802,-3.1338,-2.5276,0
8.6413,0.93611,-1.6351,-1.3043,0
-3.0087,4.6352,2.6773,1.212,0
-5.5871,1.5268,8.6564,-1.722,0
2.4728,0.95626,4.4578,0.21636,0
1.7734,-2.7914,6.7756,-0.39915,0
3.5116,5.2032,-1.2538,1.0129,0
7.2321,3.1836,-1.0713,-2.5909,0
5.1815,0.65497,1.0673,-0.42113,0
10.3009,5.6084,-4.8003,-4.3534,0
7.4432,1.105,0.41099,-3.0332,0
-2.9156,3.9292,2.2129,0.30817,0
6.4003,1.1558,1.5506,0.6961,0
2.6218,2.5581,1.8513,0.40257,0
10.9796,2.7831,-3.557,-4.4039,0
