Entropy,Skewness,Variance,Curtosis,Class
-1.356,9.2683,2.5605,-3.5913,0
-1.8461,7.6046,2.1059,-0.47755,0
-0.72371,-0.73874,2.1721,5.4672,0
-4.3263,9.1814,4.2899,-4.6067,0
-4.978,10.1891,3.5156,-4.2759,0
-1.3069,8.0081,2.614,-3.7258,0
0.54998,2.3259,0.68087,4.9085,0
0.753,0.74493,4.1962,0.83256,0
1.4551,2.9673,6.0919,-1.3267,0
-0.11984,3.2964,1.3234,0.2362,0
-0.41337,1.0326,1.3264,5.6566,0
-3.6241,7.6274,-0.16735,1.2061,0
-5.8638,10.2678,-1.3,-2.953,0
-3.5258,12.5398,-2.2261,2.9438,0
0.228,6.4665,2.4196,-0.75688,0
-0.58277,0.6394,1.0987,5.989,0
-4.206,10.5326,4.6464,-4.5852,0
-0.37199,4.1158,-0.36038,3.1143,0
0.78662,3.2136,1.3562,4.3465,0
-0.5621,-0.0248,0.5706,1.2421,0
-5.4707,10.1374,-2.6479,-1.331,0
-0.37458,-3.137,3.1219,1.9259,0
1.9284,1.5478,5.4944,0.041694,0
1.031,1.552,-1.3389,7.0806,0
-5.4435,11.9604,-2.3361,3.0835,0
-0.2776,-0.033118,2.2596,4.7355,0
0.36507,-0.63321,0.46901,7.3848,0
0.5099,2.8701,2.7296,0.51124,0
-0.083634,2.03,2.0466,2.1761,0
-5.2689,9.498,-1.3274,2.4408,0
1.1047,-2.1521,3.8905,2.6302,0
1.6892,0.90427,3.9994,1.1693,0
-3.0086,9.5083,2.3952,-3.1783,0
0.23447,6.9321,3.2704,-1.0456,0
0.78403,1.5664,-1.3931,7.5382,0
-0.36424,3.5488,1.6406,1.3964,0
0.075416,6.8576,2.7744,-1.0671,0
-1.4543,9.3821,2.4287,-3.2477,0
0.67412,-2.806,4.2134,2.0116,0
1.225,0.48213,1.6472,4.7449,0
-0.29312,-0.99326,2.0597,5.2119,0
-0.4444,0.7098,0.3798,0.7572,0
-2.0815,8.4551,1.0135,-1.672,0
0.0042961,-4.4552,4.5691,3.1769,0
-4.3922,10.1105,0.57461,-1.6917,0
-1.872,9.1938,0.5734,-0.9094,0
1.1668,3.257,5.2868,-1.3721,0
-5.0646,10.6568,4.0102,-4.1388,0
1.6297,-3.6792,4.1425,3.8281,0
0.22283,-2.9177,3.0934,2.2232,0
0.84998,5.9947,2.2034,0.53009,0
1.0077,0.79459,3.744,0.95851,0
0.35084,2.2948,3.0329,2.1135,0
-0.94742,7.2073,3.7731,-1.6814,0
0.79825,2.8908,3.1557,0.59693,0
-2.4668,7.6067,1.8114,-0.9788,0
-1.1608,7.2052,4.988,-3.2846,0
-0.90863,6.6155,2.483,-0.79287,0
0.081882,4.7055,1.594,1.3758,0
-1.6134,9.7484,-0.016103,0.15394,0
-4.4582,9.7939,3.8496,-4.1508,0
-0.2957,-3.7971,0.9297,4.6429,0
1.6245,2.4107,4.9342,-0.17594,0
-4.9159,10.0215,3.8417,-4.2699,0
-3.3642,9.9946,5.3915,-3.8081,0
1.1319,-0.070365,4.4072,2.0416,0
0.44912,6.7976,2.6946,-0.40301,0
1.1435,0.13863,5.2756,0.12138,0
-0.36165,6.2637,3.4312,-1.9513,0
0.51248,-0.16555,4.052,0.45383,0
-1.8836,-4.7759,1.3638,8.4182,0
-1.9353,7.7763,0.89566,-2.7473,0
-3.0771,7.7557,1.9265,-0.16823,0
0.90946,-0.46146,0.20977,7.7267,0
0.50084,-2.9363,4.068,2.1992,0
-0.32544,-4.0599,2.877,3.6259,0
0.69222,-0.89808,0.3223,8.0883,0
-5.8638,10.2678,-1.3,-2.953,0
-0.89828,-6.4334,1.7747,8.15,0
-1.7349,-4.4221,1.3419,8.09,0
-4.0327,10.5471,0.89606,-1.4175,0
0.7155,2.9487,0.44125,4.3225,0
-1.4466,6.2265,3.2422,0.12224,0
-0.40691,3.5136,2.5678,0.61406,0
-7.7853,11.9625,-2.2153,0.078538,0
-0.19613,6.1189,4.1349,-2.4294,0
-0.33967,-9.28E-06,1.934,4.816,0
0.12585,1.1588,2.5068,3.9249,0
-2.2302,6.0795,2.1464,-0.5778,0
-3.1508,7.0521,0.051979,-2.0541,0
-2.1888,8.035,1.2706,-0.19651,0
-0.56984,0.83391,1.143,5.4552,0
-1.2991,9.0386,2.2928,-3.2417,0
-0.9888,-4.4552,0.3292,4.5718,0
0.71291,6.8369,2.9719,-0.2702,0
-1.3858,8.7489,1.6849,-1.2641,0
-3.2763,11.6894,-1.9177,2.5454,0
-3.2013,10.4726,2.3729,-3.0087,0
-1.7853,9.767,1.0284,-1.3687,0
-4.8448,9.2186,0.27451,-3.2863,0
-2.1203,-4.7863,1.6032,8.5193,0
-4.4245,10.1788,4.616,-4.2185,0
-1.0767,7.6956,4.2478,-2.7696,0
0.36636,-2.7004,4.0215,2.4957,0
-0.23751,-4.9704,5.0297,3.5025,0
0.18404,2.2948,1.5902,3.2403,0
-1.1763,5.1939,2.1274,-1.7971,0
-0.90345,8.3847,1.1811,-2.0567,0
-0.9888,-4.4552,0.3292,4.5718,0
0.075416,5.2808,5.7353,-2.2598,0
-1.4892,5.6574,2.6718,0.72974,0
-1.5487,-4.7076,1.5799,7.9186,0
-0.037083,2.2493,2.9499,1.3458,0
-0.9849,-3.2633,0.5195,3.0895,0
-3.3487,9.5911,3.7352,-3.9032,0
0.93532,2.0175,-1.7344,7.7618,0
-4.0819,10.0277,3.884,-3.9298,0
1.7991,1.2829,3.5257,1.9276,0
0.96894,2.4976,4.4549,1.0313,0
-1.5216,-6.4624,-0.16108,8.3573,0
-5.2366,9.4607,4.2164,-4.9288,0
-0.46898,6.8224,3.5152,-0.67377,0
0.11033,2.9094,1.6988,2.9044,0
-0.17027,2.4542,1.0607,2.5188,0
0.90429,1.2436,2.0421,4.2171,0
1.6556,1.3078,3.5594,1.291,0
-0.66553,5.8126,3.0009,-2.2306,0
0.89782,1.4112,3.9294,1.8076,0
1.5418,-4.0724,3.4667,4.2882,0
0.33662,3.9213,3.966,0.70574,0
0.82929,2.33,1.0191,4.9334,0
-0.12501,5.616,0.96414,2.2138,0
0.39481,6.7562,1.8205,0.0099913,0
-0.71984,7.8653,4.9923,-2.3515,0
-6.8194,11.5093,-1.1804,0.15565,0
1.1823,0.23175,4.0329,0.89082,0
-3.9151,10.3878,0.66018,-1.4029,0
0.21248,7.1307,3.5982,-1.3035,0
-1.8384,7.886,-1.8584,-1.6643,0
0.91593,0.46972,4.0972,1.6671,0
0.39352,0.91254,3.3299,1.5806,0
0.4336,3.1122,3.1088,0.80857,0
-0.91639,8.5234,-4.2859,3.1392,0
-5.6038,10.2036,-1.2528,2.1787,0
-0.9849,-3.2633,0.5195,3.0895,0
-0.9888,-4.4552,0.3292,4.5718,0
-0.19355,5.3449,0.88872,2.045,0
-3.9564,9.3718,3.5458,-4.0351,0
-3.8853,8.0329,-0.21661,1.8848,0
-0.96811,9.0821,2.7206,-3.3111,0
-0.7819,8.6889,3.2051,-2.9033,0
-4.2888,10.8161,2.6917,-3.3,0
-5.375,11.5176,-2.3242,1.8231,0
0.16981,-4.2006,2.7161,4.1914,0
0.25128,3.2674,3.3848,0.90967,0
0.62627,4.8028,1.7452,2.0878,0
1.2133,0.57732,2.805,1.3424,0
-0.056479,5.5788,5.7823,-2.4089,0
0.96765,1.734,3.8999,1.6011,0
-0.020273,6.332,3.5189,-1.7791,0
-2.5405,7.7391,3.2294,-0.37816,0
-0.1651,3.1639,3.4985,0.22677,0
0.85774,1.3781,2.1948,1.1582,0
-2.9944,9.9636,2.2526,-3.1749,0
-0.017686,-3.9358,4.1529,2.8633,0
-4.0728,11.17,0.74307,-1.3824,0
-0.75604,8.871,1.9105,-2.3386,0
-0.50648,0.070346,-1.5055,6.8681,0
-4.3276,10.7727,0.58836,-1.3884,0
-1.2151,7.8384,3.2303,-3.5348,0
-5.2107,11.6542,-1.9922,2.6542,0
-3.3371,9.0096,2.8523,-3.761,0
0.36119,2.4955,4.2772,0.48554,0
-0.30346,0.039307,1.5099,6.2332,0
-3.6991,10.1457,5.4188,-4.084,0
0.54739,2.6963,0.86202,4.2908,0
-4.5629,10.1457,3.8117,-4.0463,0
-4.1633,10.3754,0.54777,-1.5435,0
-1.7414,7.4908,2.3718,0.015989,0
-3.4638,11.1472,-2.4953,1.9353,0
1.1991,-2.6611,4.6361,2.8358,0
-3.2737,11.5321,-2.2527,2.5899,0
-4.9728,10.423,3.7982,-4.1602,0
-3.3332,8.2895,-0.36279,-1.9213,0
-2.2224,6.8783,2.1265,0.44784,0
-0.16769,5.5643,0.86736,1.6765,0
-3.7366,10.0526,3.7831,-3.8869,0
-7.7581,12.1177,-2.2623,0.28846,0
-1.7517,4.4303,1.2616,-1.3335,0
0.58489,3.1349,2.6799,0.34073,0
-1.1621,5.9781,-0.39816,1.3912,0
1.2004,0.35798,4.3937,2.0416,0
-1.1556,5.6222,2.9695,0.27561,0
-0.75346,-0.15521,1.3049,6.4911,0
-0.85302,-5.8395,2.2123,7.7687,0
0.66377,6.9383,1.9647,0.57722,0
0.30947,-2.5845,3.0864,2.2309,0
-0.4444,0.7098,0.3798,0.7572,0
-2.9595,7.4266,0.58982,1.2353,0
-3.3409,7.946,0.14783,1.0742,0
-1.131,6.1975,-0.062025,1.099,0
0.96118,1.1319,4.223,0.72202,0
-0.41337,7.1018,0.64295,0.3493,0
1.0879,0.46351,1.941,4.6472,0
1.6181,0.45937,4.0047,1.3621,0
-3.5323,9.7794,3.7767,-3.9075,0
2.4495,-0.15314,3.4769,2.53,0
-1.872,9.2621,1.9818,-3.521,0
0.95343,-3.8696,3.8023,4.044,0
-4.2539,11.1079,4.3483,-4.0857,0
-0.43536,1.3864,1.1518,5.2727,0
0.42455,1.5892,-1.2576,7.0078,0
-1.4297,-5.1153,1.9572,8.6127,0
-3.7418,12.1611,-2.484,2.8204,0
0.62627,1.2954,-1.1497,7.701,0
-4.3276,10.0132,4.8368,-4.3239,0
-4.2267,8.8068,-0.12196,0.94566,0
0.58102,6.3961,1.9429,0.092248,0
-2.0659,-4.809,1.742,8.2142,0
-4.0974,10.8409,-1.5222,2.7827,0
-5.8638,10.2678,-1.3,-2.953,0
0.29136,-0.14693,3.4246,0.80342,0
-0.41596,-4.9518,2.5503,6.3729,0
-2.4099,6.3465,1.5691,-0.1828,0
0.22024,4.9228,1.3087,2.0013,0
-1.5694,8.2316,5.1776,-3.2511,0
-2.7164,9.6325,2.229,-3.1123,0
-3.8142,10.0857,5.6272,-4.2931,0
-0.74182,8.7986,1.2138,-2.1672,0
-0.4444,0.7098,0.3798,0.7572,0
-0.46122,6.0319,0.5415,1.6825,0
0.026279,5.6802,4.0524,-1.9693,0
1.5625,2.1065,4.7285,-0.28305,0
1.8922,0.66216,3.4359,2.1041,0
-4.0082,10.2429,0.86816,-1.4912,0
-3.7133,9.8022,3.359,-3.8209,0
0.30688,2.9942,3.6702,0.85141,0
0.49826,6.1189,1.3349,0.46497,0
-0.2026,-3.4143,3.1887,2.7742,0
-0.056479,2.9653,2.4527,0.20021,0
0.60558,2.9735,3.9121,0.92852,0
-4.3133,10.5885,3.9364,-3.725,0
1.0866,-3.2902,3.9414,3.1674,0
1.3517,-3.9585,3.6922,4.3439,0
-0.92544,7.795,5.681,-2.6848,0
-1.4996,9.0862,0.77124,-1.2281,0
-3.4638,9.7753,3.5761,-3.9795,0
0.47886,6.1251,1.602,0.52924,0
-4.0069,10.216,2.6682,-3.4414,0
0.47369,1.8644,2.0007,2.6491,0
0.64696,3.1287,0.64215,4.2933,0
1.2741,-3.0729,4.3848,3.0423,0
-1.3884,9.0552,0.77445,-2.4089,0
-1.4659,8.393,0.96574,-1.361,0
-0.96682,8.7324,3.0948,-2.9007,0
-0.85302,7.6046,4.9362,-2.3429,0
-3.4405,11.2217,-1.9458,1.9079,0
1.3763,-0.44284,5.7403,0.38015,0
-8.5482,12.1984,-2.6989,0.67661,0
-0.43406,3.5985,1.1472,1.9387,0
-1.0379,8.96,2.9742,-2.9024,0
-1.4944,7.2094,4.5707,-3.2794,0
-0.87242,6.5079,0.1848,2.0133,0
-2.1978,9.2931,0.87256,-0.7843,0
-0.67587,6.8866,0.39559,1.0588,0
-0.033204,6.1851,3.8384,-2.0439,0
-1.8784,7.3108,2.8209,-0.81857,0
-2.9957,9.7546,2.5817,-3.1749,0
2.0564,0.23175,3.8213,2.0133,0
-0.4444,0.7098,0.3798,0.7572,0
-0.38751,6.69,3.4893,-1.2042,0
0.027572,0.8546,-1.7781,7.1303,0
-0.040962,2.4769,2.0962,1.9379,0
-0.67587,-0.57113,0.94732,7.1903,0
-1.0509,9.4007,2.8261,-3.3034,0
-3.8155,8.3661,0.0071249,0.50781,0
-2.4565,7.1907,0.96788,1.2798,0
1.6543,2.1086,4.7432,0.1368,0
-1.144,7.2797,3.6575,-2.2692,0
-0.98363,6.4023,3.8832,-2.432,0
-0.92285,8.811,3.4776,-3.1886,0
-2.8444,7.9212,1.1315,1.093,0
0.57196,2.8597,2.8237,0.19678,0
-2.053,6.0423,1.9321,0.26019,0
0.8267,-3.3315,3.0632,5.1305,0
-3.0901,10.8306,-1.8411,2.769,0
-4.4194,11.3045,2.8084,-3.3394,0
0.078002,-4.4076,2.5698,5.9856,0
-6.1185,10.3216,-0.12624,-3.7121,0
1.0698,-4.0951,3.3756,4.367,0
0.75558,-1.6037,-0.048008,8.4756,0
-0.5621,-0.0248,0.5706,1.2421,0
-0.44182,6.5906,0.88444,0.55837,0
0.35214,3.7061,3.8644,0.70403,0
-0.18967,2.5762,1.2999,2.0107,0
-0.2401,-6.8638,2.0051,8.132,0
0.33662,0.27727,4.9294,0.20792,0
-0.58665,6.3485,2.8297,-0.73546,0
-1.3082,8.633,2.565,-2.9941,0
-3.2724,8.3061,2.093,0.022844,0
0.19309,5.6264,4.6014,-2.1235,0
0.99868,-0.35799,5.0617,0.44698,0
-2.0789,9.0489,-0.2951,-0.52725,0
0.73231,2.4004,3.577,1.8908,0
0.903,2.5017,3.9433,1.5215,0
-4.1685,10.754,2.6648,-3.3994,0
-0.36553,6.1664,5.9374,-2.5905,0
0.42843,1.8479,2.0153,3.1375,0
-0.60863,5.9409,5.8782,-2.8544,0
-5.7888,12.606,-2.3983,2.9464,0
0.75429,4.3682,1.762,2.1384,0
0.7155,-2.4852,4.2406,1.608,0
-0.73147,6.87,3.4669,-1.0568,0
-0.30087,5.7526,3.1896,-0.18537,0
-4.1814,9.1566,0.81356,-2.1492,0
-1.0483,0.96427,0.52855,4.0243,0
-0.061652,-2.0403,2.1319,2.5574,0
-0.18967,4.5731,0.33111,2.057,0
-1.7957,8.8172,1.2746,-1.5323,0
-3.3021,7.4556,2.2091,-1.3284,0
-2.6478,7.528,2.5328,-0.41929,0
1.9284,1.4609,3.6244,1.3501,0
-7.5487,12.5026,-1.3885,0.69118,0
-0.24527,5.8312,5.7227,-2.4097,0
-3.6991,10.3567,3.3583,-3.7301,0
0.79438,2.2369,2.5227,2.7236,0
-0.9332,6.7334,0.045304,1.0708,0
-1.2216,7.7598,4.8278,-2.4491,0
-1.8668,-4.7738,1.9476,8.527,0
-0.28406,0.66216,2.7659,4.1494,0
0.64179,-0.76771,-0.10648,7.7575,0
-1.3509,-0.053811,0.72252,5.6703,0
0.95343,1.4816,4.2475,-0.48355,0
2.1625,0.33521,3.9772,2.2566,0
0.33791,4.302,3.6667,0.55923,0
-3.9784,10.8513,2.8232,-3.1466,0
-7.1025,11.6542,-1.4217,-0.057699,0
0.94696,1.1981,4.2458,0.66633,0
-0.49225,-4.8069,4.1038,3.3491,0
-0.65259,8.7903,1.4507,-2.2324,0
0.36119,-3.9172,3.4647,3.9746,0
-2.0401,6.1458,1.8533,1.0176,0
1.9375,0.71596,3.5288,1.9507,0
1.0013,1.0367,3.9719,0.75973,0
-1.2461,9.3614,3.534,-3.6316,0
-4.3664,9.887,3.6894,-4.0788,0
-0.81682,-4.4117,3.0672,3.8238,0
0.003003,-4.8152,2.6463,6.3549,0
-0.39786,3.733,2.2893,0.6312,0
-2.1694,7.9274,1.5673,-0.056842,0
1.106,0.51524,4.0405,1.0279,0
-0.029324,-4.8794,4.3846,3.3662,0
1.0763,-0.25246,2.0165,5.1707,0
-4.7401,11.1741,4.0446,-4.3582,0
0.72326,-0.64976,-0.33729,7.6659,0
-7.6418,12.7302,-2.4604,0.91738,0
-4.1802,10.9258,4.1195,-3.8929,0
1.4202,0.82356,2.0193,4.6369,0
-2.1953,7.9129,1.5701,0.29018,0
-1.6677,7.586,2.6415,-0.28562,0
-1.7155,8.0764,5.0214,-3.0515,0
0.64955,3.3295,4.3435,0.83598,0
-0.54139,-6.7748,1.8238,8.3873,0
0.6767,0.9291,3.9382,0.78543,0
-1.2487,-5.1422,2.2517,4.2916,0
-4.0211,10.3671,5.504,-4.413,0
-1.2047,9.171,2.8521,-3.6461,0
-0.80647,9.1566,1.1676,-2.0867,0
-1.7608,8.0081,2.6104,-0.23592,0
-4.1284,10.067,0.32444,-1.1982,0
-0.53751,-4.7904,3.8962,3.3954,0
-0.67975,-0.8091,2.1752,5.1022,0
-1.1272,8.9331,1.1588,-2.0807,0
-1.4905,8.2957,4.7072,-2.5605,0
-7.8719,11.8052,-1.9667,-0.40472,0
0.65343,0.40143,4.0552,1.4563,0
-0.44829,-6.839,2.3678,8.4207,0
-0.55691,6.8369,0.33565,0.69718,0
-0.70432,-5.3036,4.3398,3.8803,0
-2.1784,8.5482,1.5456,0.4187,0
-1.9677,8.3847,1.4276,-2.0995,0
-2.5276,8.1881,-0.27802,-3.1338,0
-1.3043,8.6413,0.93611,-1.6351,0
1.212,-3.0087,4.6352,2.6773,0
-1.722,-5.5871,1.5268,8.6564,0
0.21636,2.4728,0.95626,4.4578,0
-0.39915,1.7734,-2.7914,6.7756,0
1.0129,3.5116,5.2032,-1.2538,0
-2.5909,7.2321,3.1836,-1.0713,0
-0.42113,5.1815,0.65497,1.0673,0
-4.3534,10.3009,5.6084,-4.8003,0
-3.0332,7.4432,1.105,0.41099,0
0.30817,-2.9156,3.9292,2.2129,0
0.6961,6.4003,1.1558,1.5506,0
0.40257,2.6218,2.5581,1.8513,0
-4.4039,10.9796,2.7831,-3.557,0
